study,scenario_key,regime,method,theta,validation_tpr,validation_tnr,target_tpr,target_tnr,target_size_m,validation_total_N,n_pass,n_fail,rho_target,rho_actual,sensitivity_decline,specificity_decline,replications,coverage_count,coverage,coverage_wilson_low,coverage_wilson_high,coverage_mcse,bias,bias_mcse,bias_mc95_low,bias_mc95_high,rmse,empirical_sd,mean_width,mean_width_mcse,rms_raw_bootstrap_sd,rms_analytic_se,rms_reported_se,se_calibration_ratio,se_calibration_ratio_low,se_calibration_ratio_high,weak_j_fraction,discarded_fraction,analytic_bias,empirical_minus_analytic_bias
A,"A|low success, N=200|rho_target=0.75|m=357|N=200","low success, N=200",delta_method,0.2,0.875,0.875,0.875,0.875,357,200,100,100,0.75,0.7508885907304097,nan,nan,5000,4790,0.958,0.9520794713130137,0.963217313705314,0.002836758713743558,-0.0007677384334676685,0.0006826449719800758,-0.0021056979927759714,0.0005702211258406344,0.048271567273011205,0.048270288883001236,0.1888613545990153,0.0003281540094807889,nan,0.048950015318283684,0.048950015318283684,1.014081673240655,0.9938322542319715,1.0342789959623198,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=1.00|m=268|N=200","low success, N=200",textbook_validation_only,0.2,0.875,0.875,0.875,0.875,268,200,100,100,1.0,1.0002508466072997,nan,nan,5000,4129,0.8258,0.8150379927412391,0.8360617726713616,0.005363848618296382,-0.0016076681420895966,0.0007240129199103527,-0.0030267073894555702,-0.0001886288947236228,0.051215563485453,0.05119544453352831,0.14577677177770829,0.000374147731139761,0.038438184684183904,nan,0.038438184684183904,0.750812597378863,0.7360645728094697,0.7654666951816046,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=1.00|m=268|N=200","low success, N=200",full_fixed_stratum_bootstrap,0.2,0.875,0.875,0.875,0.875,268,200,100,100,1.0,1.0002508466072997,nan,nan,5000,4742,0.9484,0.9419167179483694,0.9541948069473034,0.003128496124338337,-0.0016076681420895966,0.0007240129199103527,-0.0030267073894555702,-0.0001886288947236228,0.051215563485453,0.05119544453352831,0.20355633375979146,0.0003374516203105992,0.05315243105877519,nan,0.05315243105877519,1.0382257941713005,1.0199834774596832,1.0608102505302603,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=1.00|m=268|N=200","low success, N=200",delta_method,0.2,0.875,0.875,0.875,0.875,268,200,100,100,1.0,1.0002508466072997,nan,nan,5000,4778,0.9556,0.9495322908690903,0.9609681791185737,0.0029130272913242676,-0.0016076681420895966,0.0007240129199103527,-0.0030267073894555702,-0.0001886288947236228,0.051215563485453,0.05119544453352831,0.20215021435162145,0.00032358935114937325,nan,0.052427157151005564,0.052427157151005564,1.024059027686938,1.0053725954402724,1.045531799783177,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=1.50|m=179|N=200","low success, N=200",textbook_validation_only,0.2,0.875,0.875,0.875,0.875,179,200,100,100,1.5,1.4975822731327166,nan,nan,5000,3852,0.7704,0.7585374933936386,0.7818473333944744,0.005947837253994094,-0.0003141996105987255,0.0008226001458571537,-0.001926466270156142,0.001298067048958691,0.05816164586921857,0.05816661413406365,0.14416567951203738,0.00036847107061537687,0.03827111560959735,nan,0.03827111560959735,0.6579567365119323,0.645712309908923,0.6704335135780154,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=1.50|m=179|N=200","low success, N=200",full_fixed_stratum_bootstrap,0.2,0.875,0.875,0.875,0.875,179,200,100,100,1.5,1.4975822731327166,nan,nan,5000,4732,0.9464,0.9398074424904064,0.9523071532130467,0.0031851857088716186,-0.0003141996105987255,0.0008226001458571537,-0.001926466270156142,0.001298067048958691,0.05816164586921857,0.05816661413406365,0.22437812341144522,0.0003499221400757031,0.058998550556013184,nan,0.058998550556013184,1.0143026448132613,0.9954027986551943,1.033975587415581,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=1.50|m=179|N=200","low success, N=200",delta_method,0.2,0.875,0.875,0.875,0.875,179,200,100,100,1.5,1.4975822731327166,nan,nan,5000,4769,0.9538,0.9476249036383626,0.9592783300763037,0.002968688599365047,-0.0003141996105987255,0.0008226001458571537,-0.001926466270156142,0.001298067048958691,0.05816164586921857,0.05816661413406365,0.22344723872867275,0.00032732837158441243,nan,0.05827937196958434,0.05827937196958434,1.0019385318743292,0.9834504014709173,1.0203686799309943,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=2.00|m=134|N=200","low success, N=200",textbook_validation_only,0.2,0.875,0.875,0.875,0.875,134,200,100,100,2.0,2.0005016932145994,nan,nan,5000,3719,0.7438,0.731516160703316,0.7557095078282743,0.006173516987908917,-0.0019406127175760068,0.0008909921783808394,-0.0036869252977093396,-0.00019430013744267433,0.0630262439015435,0.06300266113172655,0.14438124272656036,0.00036816506086305163,0.03843877425965737,nan,0.03843877425965737,0.6101135026548993,0.5992670774126004,0.6224591424437689,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=2.00|m=134|N=200","low success, N=200",full_fixed_stratum_bootstrap,0.2,0.875,0.875,0.875,0.875,134,200,100,100,2.0,2.0005016932145994,nan,nan,5000,4739,0.9478,0.9412836742322345,0.9536287719057724,0.003145636978419475,-0.0019406127175760068,0.0008909921783808394,-0.0036869252977093396,-0.00019430013744267433,0.0630262439015435,0.06300266113172655,0.2434916251834561,0.00038432034414339147,0.06448150335587116,nan,0.06448150335587116,1.0234726946065442,1.005922289560403,1.0452052055796612,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=2.00|m=134|N=200","low success, N=200",delta_method,0.2,0.875,0.875,0.875,0.875,134,200,100,100,2.0,2.0005016932145994,nan,nan,5000,4778,0.9556,0.9495322908690903,0.9609681791185737,0.0029130272913242676,-0.0019406127175760068,0.0008909921783808394,-0.0036869252977093396,-0.00019430013744267433,0.0630262439015435,0.06300266113172655,0.24308485305266317,0.0003545936985463146,nan,0.06377912920769849,0.06377912920769849,1.0123243695111306,0.9946455781005769,1.033478921842758,0.0,0.0,nan,nan
